League,PICK_FINAL,count,hit,MARKET,hit_adj_mkt
Sweden - Allsvenskan,Under2.5,22,0.5,OU,0.5075841163989088
Sweden - Allsvenskan,X,3,0.0,1X2,0.30165816326530615
Switzerland - Super League,BTTS_No,1,1.0,BTTS,0.6663488210818308
Switzerland - Super League,BTTS_Yes,79,0.5949367088607594,BTTS,0.5934804302966746
Switzerland - Super League,MS1,17,0.47058823529411764,1X2,0.49049744897959185
Switzerland - Super League,Over2.5,14,0.5714285714285714,OU,0.569976641763101
Switzerland - Super League,Under2.5,6,0.6666666666666666,OU,0.6321781011080798
Switzerland - Super League,X,2,0.5,1X2,0.5619897959183674
Turkey - Super Lig,BTTS_No,3,0.6666666666666666,BTTS,0.6108992140545538
Turkey - Super Lig,BTTS_Yes,60,0.45,BTTS,0.455006274354402
Turkey - Super Lig,MS1,40,0.725,1X2,0.7165104413858567
Turkey - Super Lig,MS2,19,0.7894736842105263,1X2,0.7640885899814471
Turkey - Super Lig,Over2.5,25,0.64,OU,0.6317715324990257
Turkey - Super Lig,Under2.5,24,0.5833333333333334,OU,0.5810964040730636
Turkey - Super Lig,X,11,0.09090909090909091,1X2,0.2007106413994169
USA - MLS,BTTS_No,1,0.0,BTTS,0.4163488210818308
USA - MLS,BTTS_Yes,111,0.5945945945945946,BTTS,0.5935560989853274
USA - MLS,MS1,31,0.6129032258064516,1X2,0.6120573229291717
USA - MLS,MS2,5,0.6,1X2,0.6012436224489797
USA - MLS,Over2.5,71,0.6338028169014085,OU,0.6309405798644963
USA - MLS,Under2.5,30,0.5666666666666667,OU,0.5663516033325067
USA - MLS,X,12,0.25,1X2,0.3206632653061225
USA - USL Championship,BTTS_No,17,0.47058823529411764,BTTS,0.48326976421636614
USA - USL Championship,BTTS_Yes,62,0.5645161290322581,BTTS,0.5640830043742665
USA - USL Championship,MS1,28,0.6785714285714286,1X2,0.671288676761027
USA - USL Championship,MS2,4,0.25,1X2,0.4014212827988338
USA - USL Championship,Over2.5,18,0.4444444444444444,OU,0.46140966237965325
USA - USL Championship,Under2.5,49,0.5306122448979592,OU,0.5324923636533215
USA - USL Championship,X,14,0.14285714285714285,1X2,0.22411464585834334
Ukraine - Premier League,BTTS_No,6,0.16666666666666666,BTTS,0.2961550315919248
Ukraine - Premier League,BTTS_Yes,14,0.42857142857142855,BTTS,0.45090560496043075
Ukraine - Premier League,MS1,11,0.7272727272727273,1X2,0.700710641399417
Ukraine - Premier League,MS2,15,0.6,1X2,0.6005527210884354
Ukraine - Premier League,Over2.5,5,0.4,OU,0.46120036374658985
Ukraine - Premier League,Under2.5,55,0.6181818181818182,OU,0.6153379812064262
